"Reference","Value","AkizukiCode","Footprint","Qty","Datasheet","DNP"
"C1","22uF","","Capacitor_SMD:C_0805_2012Metric","1","~",""
"C2","10uF","","Capacitor_SMD:C_0805_2012Metric","1","~",""
"D1","LED","","LED_SMD:LED_0603_1608Metric","1","~",""
"F1","5A","118223/118217","FUSE_3557:FUSE_3557-2","1","~",""
"MD1","OKL-T_6-W12N-C","106187","OKL-T_6-W12N-C:MURATA_OKL-T-6-W12N-C_0","1","",""
"R1,R2,R8","10k","","Resistor_SMD:R_0805_2012Metric","3","~",""
"R3,R6","1k","","Resistor_SMD:R_0805_2012Metric","2","~",""
"R4","330R","","Resistor_SMD:R_0805_2012Metric","1","~",""
"R5","10R","","Resistor_SMD:R_0805_2012Metric","1","~",""
"R7","200R","","Resistor_SMD:R_0805_2012Metric","1","~",""
"SW1","Switch","112723","Button_Switch_THT:SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm","1","https://www.we-online.com/components/products/datasheet/450301014042.pdf",""
